id,date,time,accident_type,severity,district,vehicles_count,injured,killed,weather
41,2025-01-06,15:34,Столкновение,Тяжёлое,Чкаловский,2,3,0,Туман
42,2025-01-06,16:31,Наезд на препятствие,Лёгкое,Кировский,1,1,0,Ясно
43,2025-01-07,07:11,Столкновение,Лёгкое,Октябрьский,2,0,0,Ясно
44,2025-01-07,09:57,Иное,Лёгкое,Ленинский,1,0,0,Гололёд
45,2025-01-07,17:04,Наезд на пешехода,Тяжёлое,Ленинский,1,1,1,Снегопад
46,2025-01-07,09:32,Наезд на препятствие,Лёгкое,Октябрьский,1,0,0,Гололёд
47,2025-01-07,13:29,Столкновение,Лёгкое,Чкаловский,2,1,0,Гололёд
48,2025-01-07,13:14,Наезд на препятствие,Средней тяжести,Кировский,1,1,0,Гололёд
49,2025-01-08,06:07,Столкновение,Средней тяжести,Чкаловский,2,1,0,Ясно
50,2025-01-08,19:28,Столкновение,Лёгкое,Октябрьский,2,1,0,Ясно
51,2025-01-08,12:47,Наезд на пешехода,Лёгкое,Ленинский,1,1,0,Ясно
52,2025-01-08,19:26,Наезд на пешехода,Лёгкое,Орджоникидзевский,1,0,0,Снегопад
53,2025-01-08,17:57,Столкновение,Лёгкое,Чкаловский,2,2,0,Гололёд
54,2025-01-08,18:58,Столкновение,Лёгкое,Кировский,2,1,0,Снегопад
55,2025-01-09,20:03,Наезд на пешехода,Лёгкое,Октябрьский,1,2,0,Гололёд
56,2025-01-09,14:59,Опрокидывание,Лёгкое,Чкаловский,1,0,0,Гололёд
57,2025-01-09,19:13,Наезд на стоящее ТС,Лёгкое,Чкаловский,2,1,0,Гололёд
58,2025-01-09,08:07,Наезд на стоящее ТС,Средней тяжести,Кировский,2,3,0,Снегопад
59,2025-01-09,07:37,Наезд на пешехода,Лёгкое,Верх-Исетский,1,1,0,Гололёд
60,2025-01-09,08:19,Падение пассажира,Лёгкое,Ленинский,1,0,0,Гололёд
61,2025-01-09,18:25,Столкновение,Лёгкое,Верх-Исетский,2,0,0,Гололёд
62,2025-01-09,10:56,Столкновение,Лёгкое,Кировский,2,0,0,Ясно
63,2025-01-09,08:20,Столкновение,Средней тяжести,Орджоникидзевский,2,3,0,Гололёд
64,2025-01-10,16:26,Столкновение,Лёгкое,Железнодорожный,2,0,0,Ясно
65,2025-01-10,22:40,Наезд на пешехода,Лёгкое,Орджоникидзевский,1,0,0,Снегопад
66,2025-01-10,15:10,Наезд на стоящее ТС,Лёгкое,Ленинский,2,0,0,Ясно
67,2025-01-10,09:52,Наезд на препятствие,Лёгкое,Железнодорожный,1,1,0,Снегопад
68,2025-01-10,09:19,Столкновение,Средней тяжести,Октябрьский,2,3,0,Туман
69,2025-01-10,15:52,Наезд на пешехода,Лёгкое,Верх-Исетский,1,0,0,Снегопад
70,2025-01-10,18:21,Столкновение,Лёгкое,Железнодорожный,2,0,0,Туман
71,2025-01-10,16:46,Столкновение,Средней тяжести,Октябрьский,3,3,0,Туман
72,2025-01-11,20:09,Иное,Лёгкое,Октябрьский,2,1,0,Гололёд
73,2025-01-11,19:55,Наезд на препятствие,Лёгкое,Ленинский,1,1,0,Снегопад
74,2025-01-11,08:37,Падение пассажира,Лёгкое,Верх-Исетский,1,0,0,Ясно
75,2025-01-11,09:38,Наезд на пешехода,Лёгкое,Железнодорожный,1,1,0,Гололёд
76,2025-01-11,15:24,Наезд на пешехода,Лёгкое,Железнодорожный,1,0,0,Снегопад
77,2025-01-12,09:05,Столкновение,Тяжёлое,Октябрьский,4,2,0,Ясно
78,2025-01-12,14:20,Столкновение,Лёгкое,Железнодорожный,2,1,0,Снегопад
79,2025-01-12,18:03,Наезд на стоящее ТС,Лёгкое,Орджоникидзевский,2,0,0,Снегопад
80,2025-01-12,13:59,Опрокидывание,Лёгкое,Железнодорожный,1,0,0,Гололёд
81,2025-01-12,14:40,Столкновение,Лёгкое,Орджоникидзевский,2,1,0,Ясно
82,2025-01-12,05:20,Наезд на пешехода,Средней тяжести,Ленинский,1,3,0,Гололёд
83,2025-01-12,15:29,Опрокидывание,Средней тяжести,Железнодорожный,1,1,0,Снегопад
84,2025-01-13,08:42,Наезд на стоящее ТС,Лёгкое,Верх-Исетский,2,0,0,Ясно
85,2025-01-13,11:54,Столкновение,Средней тяжести,Кировский,2,2,0,Снегопад
86,2025-01-13,09:39,Наезд на пешехода,Лёгкое,Чкаловский,1,1,0,Снегопад
87,2025-01-13,18:28,Наезд на пешехода,Лёгкое,Чкаловский,1,1,0,Гололёд
88,2025-01-14,19:42,Падение пассажира,Лёгкое,Верх-Исетский,1,0,0,Гололёд
89,2025-01-14,06:47,Столкновение,Средней тяжести,Верх-Исетский,2,1,0,Ясно
90,2025-01-14,17:48,Наезд на препятствие,Лёгкое,Кировский,1,1,0,Ясно
91,2025-01-14,18:36,Иное,Средней тяжести,Кировский,1,2,0,Снегопад
92,2025-01-14,09:14,Наезд на стоящее ТС,Лёгкое,Железнодорожный,2,1,0,Гололёд
93,2025-01-14,19:13,Наезд на пешехода,Лёгкое,Орджоникидзевский,1,0,0,Ясно
94,2025-01-14,11:11,Наезд на пешехода,Лёгкое,Чкаловский,1,1,0,Ясно
95,2025-01-15,15:07,Наезд на препятствие,Лёгкое,Ленинский,1,1,0,Гололёд
96,2025-01-15,19:05,Столкновение,Лёгкое,Чкаловский,2,1,0,Ясно
97,2025-01-15,21:11,Наезд на пешехода,Средней тяжести,Верх-Исетский,1,1,0,Снегопад
98,2025-01-15,10:57,Столкновение,Лёгкое,Чкаловский,2,2,0,Ясно
99,2025-01-15,17:20,Столкновение,Тяжёлое,Октябрьский,2,4,0,Туман
100,2025-01-16,23:24,Столкновение,Средней тяжести,Орджоникидзевский,3,3,0,Гололёд
101,2025-01-16,15:51,Столкновение,Лёгкое,Ленинский,2,1,0,Гололёд
102,2025-01-16,19:11,Опрокидывание,Средней тяжести,Верх-Исетский,1,2,0,Гололёд
103,2025-01-16,13:40,Столкновение,Лёгкое,Кировский,2,1,0,Туман
104,2025-01-16,11:19,Столкновение,Средней тяжести,Орджоникидзевский,2,3,0,Снегопад
105,2025-01-16,12:05,Падение пассажира,Средней тяжести,Чкаловский,1,1,0,Ясно
106,2025-01-16,22:32,Столкновение,Средней тяжести,Железнодорожный,2,2,0,Ясно
107,2025-01-16,14:06,Наезд на препятствие,Лёгкое,Верх-Исетский,1,0,0,Ясно
108,2025-01-16,08:52,Опрокидывание,Лёгкое,Верх-Исетский,1,1,0,Гололёд
109,2025-01-17,07:56,Наезд на препятствие,Лёгкое,Октябрьский,1,1,0,Ясно
110,2025-01-17,13:42,Наезд на препятствие,Средней тяжести,Ленинский,1,2,0,Гололёд
111,2025-01-17,17:04,Столкновение,Лёгкое,Чкаловский,2,1,0,Снегопад
112,2025-01-17,17:53,Наезд на пешехода,Средней тяжести,Кировский,1,2,0,Гололёд
113,2025-01-17,13:40,Наезд на пешехода,Лёгкое,Кировский,1,0,0,Снегопад
114,2025-01-17,08:24,Столкновение,Лёгкое,Верх-Исетский,2,1,0,Снегопад
115,2025-01-18,07:25,Опрокидывание,Лёгкое,Ленинский,1,2,0,Гололёд
116,2025-01-18,08:07,Столкновение,Лёгкое,Железнодорожный,2,1,0,Гололёд
117,2025-01-18,11:06,Наезд на препятствие,Средней тяжести,Октябрьский,1,3,0,Ясно
118,2025-01-18,08:35,Иное,Лёгкое,Орджоникидзевский,2,0,0,Гололёд
119,2025-01-18,09:51,Столкновение,Тяжёлое,Верх-Исетский,2,2,0,Гололёд
120,2025-01-18,14:09,Наезд на стоящее ТС,Лёгкое,Кировский,2,1,0,Туман
121,2025-01-18,00:21,Наезд на пешехода,Лёгкое,Кировский,1,2,0,Снегопад
122,2025-01-19,23:45,Наезд на препятствие,Тяжёлое,Верх-Исетский,1,3,0,Гололёд
123,2025-01-19,17:06,Опрокидывание,Лёгкое,Октябрьский,1,1,0,Ясно
124,2025-01-19,07:26,Столкновение,Тяжёлое,Железнодорожный,3,3,0,Снегопад
125,2025-01-19,18:24,Опрокидывание,Средней тяжести,Октябрьский,1,2,0,Гололёд
126,2025-01-19,15:09,Столкновение,Лёгкое,Верх-Исетский,2,2,0,Снегопад
127,2025-01-19,06:53,Падение пассажира,Лёгкое,Чкаловский,1,0,0,Снегопад
128,2025-01-19,12:22,Наезд на препятствие,Лёгкое,Ленинский,1,0,0,Ясно
129,2025-01-19,20:25,Наезд на пешехода,Лёгкое,Кировский,1,1,0,Снегопад
130,2025-01-19,09:17,Наезд на препятствие,Средней тяжести,Орджоникидзевский,1,2,0,Снегопад
131,2025-01-19,11:52,Столкновение,Лёгкое,Кировский,3,0,0,Ясно
132,2025-01-20,09:58,Столкновение,Лёгкое,Орджоникидзевский,2,0,0,Ясно
133,2025-01-20,07:54,Падение пассажира,Средней тяжести,Орджоникидзевский,1,3,0,Гололёд
134,2025-01-20,08:49,Столкновение,Тяжёлое,Ленинский,3,2,0,Ясно
135,2025-01-20,20:22,Столкновение,Тяжёлое,Ленинский,2,3,0,Туман
136,2025-01-20,13:08,Наезд на пешехода,Лёгкое,Ленинский,1,1,0,Снегопад
137,2025-01-21,12:20,Столкновение,Средней тяжести,Орджоникидзевский,2,1,0,Ясно
138,2025-01-21,07:47,Иное,Лёгкое,Ленинский,1,0,0,Гололёд
139,2025-01-21,09:54,Столкновение,Средней тяжести,Ленинский,2,3,0,Снегопад
140,2025-01-21,07:11,Наезд на препятствие,Лёгкое,Железнодорожный,1,0,0,Ясно
141,2025-01-21,20:32,Наезд на стоящее ТС,Средней тяжести,Орджоникидзевский,2,3,0,Снегопад
142,2025-01-21,14:15,Наезд на пешехода,Лёгкое,Ленинский,1,0,0,Гололёд
143,2025-01-21,08:20,Столкновение,Средней тяжести,Октябрьский,3,2,0,Гололёд
144,2025-01-21,18:35,Наезд на пешехода,Лёгкое,Октябрьский,1,1,0,Гололёд
145,2025-01-22,14:29,Столкновение,Средней тяжести,Октябрьский,2,1,0,Снегопад
146,2025-01-22,20:08,Столкновение,Лёгкое,Чкаловский,2,2,0,Снегопад
147,2025-01-22,08:37,Опрокидывание,Лёгкое,Верх-Исетский,1,0,0,Снегопад
148,2025-01-22,16:44,Иное,Лёгкое,Чкаловский,1,2,0,Ясно
149,2025-01-23,23:02,Наезд на стоящее ТС,Лёгкое,Орджоникидзевский,2,0,0,Снегопад
150,2025-01-23,18:10,Наезд на препятствие,Лёгкое,Верх-Исетский,1,0,0,Гололёд
151,2025-01-23,18:57,Наезд на пешехода,Лёгкое,Чкаловский,1,2,0,Снегопад
152,2025-01-23,17:06,Наезд на пешехода,Лёгкое,Орджоникидзевский,1,0,0,Туман
153,2025-01-23,13:24,Наезд на пешехода,Средней тяжести,Верх-Исетский,1,3,0,Снегопад
154,2025-01-23,11:35,Столкновение,Лёгкое,Верх-Исетский,2,1,0,Ясно
155,2025-01-23,08:08,Наезд на стоящее ТС,Средней тяжести,Кировский,2,2,0,Гололёд
156,2025-01-24,09:31,Столкновение,Лёгкое,Верх-Исетский,2,0,0,Гололёд
157,2025-01-24,19:40,Падение пассажира,Тяжёлое,Верх-Исетский,1,2,1,Гололёд
158,2025-01-24,05:31,Столкновение,Средней тяжести,Кировский,2,3,0,Снегопад
159,2025-01-24,09:59,Наезд на препятствие,Лёгкое,Верх-Исетский,1,2,0,Ясно
160,2025-01-24,09:45,Столкновение,Тяжёлое,Чкаловский,2,2,1,Туман
161,2025-01-25,18:23,Столкновение,Средней тяжести,Октябрьский,2,1,0,Ясно
162,2025-01-25,09:40,Наезд на стоящее ТС,Средней тяжести,Кировский,2,2,0,Гололёд
163,2025-01-25,17:14,Наезд на препятствие,Средней тяжести,Верх-Исетский,1,1,0,Гололёд
164,2025-01-25,15:20,Столкновение,Лёгкое,Ленинский,2,2,0,Снегопад
165,2025-01-25,14:36,Иное,Средней тяжести,Чкаловский,2,1,0,Снегопад
166,2025-01-25,15:04,Столкновение,Лёгкое,Кировский,2,2,0,Ясно
167,2025-01-25,14:33,Столкновение,Лёгкое,Октябрьский,3,1,0,Гололёд
168,2025-01-25,15:43,Опрокидывание,Лёгкое,Ленинский,1,1,0,Гололёд
169,2025-01-26,08:26,Столкновение,Лёгкое,Чкаловский,2,1,0,Ясно
170,2025-01-26,12:56,Наезд на пешехода,Тяжёлое,Верх-Исетский,1,1,1,Ясно
171,2025-01-27,16:40,Столкновение,Средней тяжести,Верх-Исетский,2,2,0,Снегопад
172,2025-01-27,20:59,Столкновение,Лёгкое,Октябрьский,2,0,0,Ясно
173,2025-01-27,16:06,Наезд на стоящее ТС,Лёгкое,Чкаловский,2,1,0,Снегопад
174,2025-01-27,10:56,Столкновение,Лёгкое,Ленинский,2,0,0,Ясно
175,2025-01-27,17:10,Иное,Лёгкое,Ленинский,1,2,0,Снегопад
176,2025-01-28,13:32,Столкновение,Средней тяжести,Кировский,2,1,0,Ясно
177,2025-01-28,09:52,Наезд на препятствие,Лёгкое,Чкаловский,1,2,0,Снегопад
178,2025-01-28,17:43,Столкновение,Средней тяжести,Железнодорожный,3,1,0,Снегопад
179,2025-01-28,09:42,Столкновение,Средней тяжести,Железнодорожный,3,1,0,Гололёд
180,2025-01-28,21:04,Столкновение,Лёгкое,Верх-Исетский,2,0,0,Снегопад
181,2025-01-29,07:42,Столкновение,Лёгкое,Октябрьский,2,0,0,Ясно
182,2025-01-29,10:34,Столкновение,Лёгкое,Чкаловский,2,1,0,Гололёд
183,2025-01-29,12:32,Столкновение,Средней тяжести,Верх-Исетский,2,2,0,Снегопад
184,2025-01-29,22:06,Иное,Средней тяжести,Железнодорожный,2,1,0,Снегопад
185,2025-01-29,00:30,Опрокидывание,Лёгкое,Орджоникидзевский,1,0,0,Ясно
186,2025-01-29,22:02,Столкновение,Тяжёлое,Верх-Исетский,2,3,0,Ясно
187,2025-01-30,07:27,Наезд на стоящее ТС,Лёгкое,Чкаловский,2,0,0,Ясно
188,2025-01-30,16:37,Столкновение,Средней тяжести,Орджоникидзевский,2,1,0,Туман
189,2025-01-30,21:26,Иное,Средней тяжести,Верх-Исетский,1,2,0,Гололёд
190,2025-01-31,23:34,Опрокидывание,Лёгкое,Орджоникидзевский,1,1,0,Ясно
191,2025-01-31,15:12,Столкновение,Лёгкое,Ленинский,2,0,0,Ясно
192,2025-01-31,06:05,Наезд на стоящее ТС,Лёгкое,Верх-Исетский,2,0,0,Снегопад
193,2025-01-31,17:07,Наезд на пешехода,Лёгкое,Орджоникидзевский,1,1,0,Туман
194,2025-01-31,11:37,Столкновение,Лёгкое,Орджоникидзевский,2,0,0,Гололёд
195,2025-01-31,19:03,Наезд на препятствие,Средней тяжести,Чкаловский,1,2,0,Ясно
196,2025-01-31,15:53,Наезд на пешехода,Тяжёлое,Верх-Исетский,1,2,2,Снегопад
197,2025-01-31,08:15,Столкновение,Лёгкое,Верх-Исетский,2,1,0,Гололёд
198,2025-02-01,19:28,Столкновение,Лёгкое,Чкаловский,2,0,0,Гололёд
199,2025-02-01,08:21,Иное,Лёгкое,Чкаловский,2,2,0,Снегопад
200,2025-02-01,08:27,Наезд на препятствие,Средней тяжести,Октябрьский,1,2,0,Туман
201,2025-02-01,02:39,Столкновение,Лёгкое,Верх-Исетский,2,2,0,Гололёд
202,2025-02-01,23:26,Наезд на препятствие,Тяжёлое,Кировский,1,1,0,Ясно
203,2025-02-01,07:46,Наезд на стоящее ТС,Лёгкое,Орджоникидзевский,2,0,0,Ясно
204,2025-02-02,17:35,Наезд на препятствие,Средней тяжести,Орджоникидзевский,1,3,0,Снегопад
205,2025-02-02,17:59,Столкновение,Лёгкое,Железнодорожный,2,1,0,Ясно
206,2025-02-02,07:10,Столкновение,Лёгкое,Октябрьский,2,0,0,Снегопад
207,2025-02-02,13:25,Столкновение,Лёгкое,Октябрьский,2,0,0,Снегопад
208,2025-02-02,08:17,Наезд на стоящее ТС,Лёгкое,Ленинский,2,0,0,Снегопад
209,2025-02-02,13:25,Столкновение,Тяжёлое,Верх-Исетский,2,3,1,Гололёд
210,2025-02-02,07:45,Столкновение,Лёгкое,Орджоникидзевский,2,0,0,Гололёд
211,2025-02-02,13:44,Наезд на пешехода,Лёгкое,Кировский,1,0,0,Снегопад
212,2025-02-02,09:03,Столкновение,Лёгкое,Орджоникидзевский,2,2,0,Гололёд
213,2025-02-03,03:02,Наезд на стоящее ТС,Лёгкое,Железнодорожный,2,0,0,Ясно
214,2025-02-03,14:17,Столкновение,Тяжёлое,Орджоникидзевский,2,1,0,Снегопад
215,2025-02-03,17:38,Столкновение,Средней тяжести,Октябрьский,2,1,0,Туман
216,2025-02-03,20:03,Наезд на стоящее ТС,Тяжёлое,Октябрьский,2,1,1,Туман
217,2025-02-03,09:46,Столкновение,Средней тяжести,Чкаловский,2,2,0,Ясно
218,2025-02-03,07:48,Столкновение,Лёгкое,Октябрьский,2,1,0,Ясно
219,2025-02-03,17:58,Столкновение,Лёгкое,Орджоникидзевский,2,1,0,Гололёд
220,2025-02-03,16:47,Столкновение,Средней тяжести,Ленинский,2,2,0,Гололёд
221,2025-02-03,14:07,Падение пассажира,Лёгкое,Чкаловский,1,1,0,Снегопад
222,2025-02-04,21:03,Наезд на препятствие,Средней тяжести,Чкаловский,1,3,0,Гололёд
223,2025-02-04,09:49,Опрокидывание,Лёгкое,Орджоникидзевский,1,0,0,Снегопад
224,2025-02-04,10:12,Столкновение,Лёгкое,Верх-Исетский,2,0,0,Ясно
225,2025-02-04,14:07,Столкновение,Тяжёлое,Кировский,3,3,1,Гололёд
226,2025-02-04,14:13,Наезд на пешехода,Средней тяжести,Октябрьский,1,3,0,Снегопад
227,2025-02-04,09:44,Опрокидывание,Лёгкое,Орджоникидзевский,1,1,0,Ясно
228,2025-02-04,12:44,Столкновение,Средней тяжести,Железнодорожный,2,3,0,Ясно
229,2025-02-04,15:56,Столкновение,Лёгкое,Кировский,2,1,0,Ясно
230,2025-02-04,17:21,Столкновение,Средней тяжести,Октябрьский,3,2,0,Снегопад
231,2025-02-04,17:25,Наезд на пешехода,Лёгкое,Орджоникидзевский,1,0,0,Снегопад
232,2025-02-04,17:00,Столкновение,Лёгкое,Орджоникидзевский,2,0,0,Гололёд
233,2025-02-04,19:57,Наезд на препятствие,Средней тяжести,Ленинский,1,2,0,Туман
234,2025-02-05,08:25,Наезд на пешехода,Средней тяжести,Кировский,1,1,0,Гололёд
235,2025-02-05,12:08,Наезд на препятствие,Лёгкое,Октябрьский,1,0,0,Гололёд
236,2025-02-05,18:13,Столкновение,Средней тяжести,Верх-Исетский,3,1,0,Ясно
237,2025-02-05,20:10,Иное,Лёгкое,Чкаловский,2,0,0,Гололёд
238,2025-02-06,08:54,Столкновение,Лёгкое,Октябрьский,2,0,0,Гололёд
239,2025-02-06,18:13,Наезд на пешехода,Средней тяжести,Орджоникидзевский,1,3,0,Снегопад
240,2025-02-06,15:31,Наезд на препятствие,Лёгкое,Кировский,1,0,0,Гололёд
241,2025-02-06,13:52,Иное,Средней тяжести,Кировский,1,3,0,Гололёд
242,2025-02-06,09:51,Наезд на препятствие,Лёгкое,Железнодорожный,1,1,0,Снегопад
243,2025-02-06,10:24,Столкновение,Средней тяжести,Ленинский,2,2,0,Ясно
244,2025-02-06,18:12,Столкновение,Лёгкое,Чкаловский,3,0,0,Ясно
245,2025-02-07,12:24,Столкновение,Лёгкое,Кировский,2,1,0,Гололёд
246,2025-02-07,08:24,Наезд на препятствие,Лёгкое,Ленинский,1,0,0,Снегопад
247,2025-02-07,14:49,Столкновение,Лёгкое,Ленинский,2,1,0,Гололёд
248,2025-02-07,12:02,Наезд на пешехода,Лёгкое,Железнодорожный,1,1,0,Снегопад
249,2025-02-07,09:06,Наезд на препятствие,Тяжёлое,Верх-Исетский,1,2,0,Гололёд
250,2025-02-07,11:42,Столкновение,Лёгкое,Ленинский,3,0,0,Ясно
251,2025-02-07,20:31,Столкновение,Тяжёлое,Ленинский,2,3,0,Гололёд
252,2025-02-08,11:46,Столкновение,Средней тяжести,Железнодорожный,3,3,0,Ясно
253,2025-02-08,20:11,Наезд на пешехода,Лёгкое,Орджоникидзевский,1,2,0,Туман
254,2025-02-08,07:13,Столкновение,Лёгкое,Ленинский,2,0,0,Снегопад
255,2025-02-08,23:52,Столкновение,Лёгкое,Ленинский,2,0,0,Ясно
256,2025-02-08,08:54,Столкновение,Лёгкое,Ленинский,2,2,0,Гололёд
257,2025-02-08,22:12,Опрокидывание,Средней тяжести,Октябрьский,1,3,0,Снегопад
258,2025-02-08,08:03,Столкновение,Средней тяжести,Октябрьский,2,1,0,Гололёд
259,2025-02-08,14:02,Наезд на препятствие,Тяжёлое,Ленинский,1,1,0,Снегопад
260,2025-02-08,08:03,Столкновение,Средней тяжести,Орджоникидзевский,2,3,0,Снегопад
261,2025-02-08,21:36,Наезд на пешехода,Лёгкое,Железнодорожный,1,2,0,Снегопад
262,2025-02-08,09:00,Иное,Лёгкое,Железнодорожный,2,0,0,Ясно
263,2025-02-08,06:14,Столкновение,Тяжёлое,Октябрьский,2,2,0,Гололёд
264,2025-02-09,06:04,Столкновение,Тяжёлое,Кировский,2,1,0,Гололёд
265,2025-02-09,10:53,Столкновение,Лёгкое,Верх-Исетский,3,1,0,Снегопад
266,2025-02-09,14:28,Иное,Лёгкое,Чкаловский,1,0,0,Снегопад
267,2025-02-09,20:23,Наезд на пешехода,Тяжёлое,Кировский,1,1,0,Снегопад
268,2025-02-09,17:03,Опрокидывание,Лёгкое,Ленинский,1,0,0,Снегопад
269,2025-02-10,17:26,Наезд на пешехода,Средней тяжести,Кировский,1,2,0,Снегопад
270,2025-02-10,10:19,Падение пассажира,Средней тяжести,Орджоникидзевский,1,1,0,Снегопад
271,2025-02-10,11:45,Падение пассажира,Лёгкое,Орджоникидзевский,1,0,0,Туман
272,2025-02-10,14:47,Наезд на пешехода,Лёгкое,Железнодорожный,1,1,0,Снегопад
273,2025-02-10,17:52,Падение пассажира,Средней тяжести,Кировский,1,2,0,Туман
274,2025-02-10,19:54,Столкновение,Лёгкое,Железнодорожный,2,1,0,Снегопад
275,2025-02-10,12:33,Наезд на препятствие,Средней тяжести,Октябрьский,1,3,0,Гололёд
276,2025-02-10,08:31,Столкновение,Тяжёлое,Орджоникидзевский,2,3,0,Ясно
277,2025-02-11,13:52,Столкновение,Лёгкое,Орджоникидзевский,3,1,0,Гололёд
278,2025-02-11,08:50,Иное,Лёгкое,Октябрьский,1,2,0,Ясно
279,2025-02-11,17:48,Столкновение,Лёгкое,Верх-Исетский,2,1,0,Снегопад
280,2025-02-11,13:46,Наезд на пешехода,Средней тяжести,Кировский,1,3,0,Гололёд
281,2025-02-11,13:14,Столкновение,Лёгкое,Кировский,2,0,0,Снегопад
282,2025-02-11,19:02,Столкновение,Лёгкое,Кировский,2,0,0,Гололёд
283,2025-02-12,15:22,Наезд на стоящее ТС,Лёгкое,Чкаловский,2,0,0,Снегопад
284,2025-02-12,08:15,Наезд на стоящее ТС,Лёгкое,Октябрьский,2,2,0,Туман
285,2025-02-12,10:34,Наезд на пешехода,Средней тяжести,Чкаловский,1,2,0,Ясно
286,2025-02-12,22:28,Наезд на пешехода,Лёгкое,Орджоникидзевский,1,1,0,Туман
287,2025-02-12,19:49,Наезд на препятствие,Лёгкое,Ленинский,1,0,0,Снегопад
288,2025-02-12,15:14,Наезд на стоящее ТС,Средней тяжести,Верх-Исетский,2,1,0,Туман
289,2025-02-13,08:18,Падение пассажира,Тяжёлое,Октябрьский,1,1,1,Ясно
290,2025-02-13,13:45,Иное,Лёгкое,Кировский,1,2,0,Гололёд
291,2025-02-13,13:50,Наезд на стоящее ТС,Лёгкое,Кировский,2,0,0,Гололёд
292,2025-02-13,16:56,Столкновение,Средней тяжести,Октябрьский,2,2,0,Ясно
293,2025-02-13,09:08,Опрокидывание,Лёгкое,Кировский,1,1,0,Ясно
294,2025-02-13,08:40,Наезд на стоящее ТС,Средней тяжести,Верх-Исетский,2,1,0,Туман
